T,Salt,Cs,fs,Cp,Gamma,Eta
25,NaCl,1,0.5,0.25,1.0,5.2873
25,NaCl,1,0.5,0.25,1.29,5.4651
25,NaCl,1,0.5,0.25,1.67,4.7818
25,NaCl,1,0.5,0.25,2.15,4.6893
25,NaCl,1,0.5,0.25,2.78,4.4184
25,NaCl,1,0.5,0.25,3.59,4.215
25,NaCl,1,0.5,0.25,4.64,3.9537
25,NaCl,1,0.5,0.25,5.99,3.7993
25,NaCl,1,0.5,0.25,7.74,3.5668
25,NaCl,1,0.5,0.25,10.0,3.3382
25,NaCl,1,0.5,0.25,12.9,3.1325
25,NaCl,1,0.5,0.25,16.7,2.9499
25,NaCl,1,0.5,0.25,21.5,2.7618
25,NaCl,1,0.5,0.25,27.8,2.6124
25,NaCl,1,0.5,0.25,35.9,2.4834
25,NaCl,1,0.5,0.25,46.4,2.3567
25,NaCl,1,0.5,0.25,59.9,2.2789
25,NaCl,1,0.5,0.25,77.4,2.1668
25,NaCl,1,0.5,0.25,100.0,2.1034
25,NaCl,1,0.5,0.4,0.1,11.597
25,NaCl,1,0.5,0.4,0.129,9.4134
25,NaCl,1,0.5,0.4,0.167,8.8388
25,NaCl,1,0.5,0.4,0.215,8.7471
25,NaCl,1,0.5,0.4,0.278,7.9797
25,NaCl,1,0.5,0.4,0.359,8.3391
25,NaCl,1,0.5,0.4,0.464,8.0692
25,NaCl,1,0.5,0.4,0.599,7.6166
25,NaCl,1,0.5,0.4,0.774,7.6103
25,NaCl,1,0.5,0.4,1.0,7.9362
25,NaCl,1,0.5,0.4,1.29,7.2349
25,NaCl,1,0.5,0.4,1.67,6.7565
25,NaCl,1,0.5,0.4,2.15,6.299
25,NaCl,1,0.5,0.4,2.78,6.1996
25,NaCl,1,0.5,0.4,3.59,5.6954
25,NaCl,1,0.5,0.4,4.64,5.4036
25,NaCl,1,0.5,0.4,5.99,4.9938
25,NaCl,1,0.5,0.4,7.74,4.6869
25,NaCl,1,0.5,0.4,10.0,4.3665
25,NaCl,1,0.5,0.4,12.9,4.0517
25,NaCl,1,0.5,0.4,16.7,3.7732
25,NaCl,1,0.5,0.4,21.5,3.5283
25,NaCl,1,0.5,0.4,27.8,3.2795
25,NaCl,1,0.5,0.4,35.9,3.0771
25,NaCl,1,0.5,0.4,46.4,2.8925
25,NaCl,1,0.5,0.4,59.9,2.7558
25,NaCl,1,0.5,0.4,77.4,2.6203
25,NaCl,1,0.5,0.4,100.0,2.4759
25,NaCl,1,0.5,0.15,1.0,1.6384
25,NaCl,1,0.5,0.15,1.29,1.9405
25,NaCl,1,0.5,0.15,1.67,2.1116
25,NaCl,1,0.5,0.15,2.15,1.7709
25,NaCl,1,0.5,0.15,2.78,1.9734
25,NaCl,1,0.5,0.15,3.59,1.767
25,NaCl,1,0.5,0.15,4.64,1.856
25,NaCl,1,0.5,0.15,5.99,1.7726
25,NaCl,1,0.5,0.15,7.74,1.7077
25,NaCl,1,0.5,0.15,10.0,1.6779
25,NaCl,1,0.5,0.15,12.9,1.6483
25,NaCl,1,0.5,0.15,16.7,1.6331
25,NaCl,1,0.5,0.15,21.5,1.595
25,NaCl,1,0.5,0.15,27.8,1.5805
25,NaCl,1,0.5,0.15,35.9,1.5539
25,NaCl,1,0.5,0.15,46.4,1.5588
25,NaCl,1,0.5,0.15,59.9,1.5351
25,NaCl,1,0.5,0.15,77.4,1.5537
25,NaCl,1,0.5,0.15,100.0,1.5294
25,NaCl,1,0.5,0.8,0.1,70.719
25,NaCl,1,0.5,0.8,0.129,68.567
25,NaCl,1,0.5,0.8,0.167,64.484
25,NaCl,1,0.5,0.8,0.215,59.898
25,NaCl,1,0.5,0.8,0.278,54.677
25,NaCl,1,0.5,0.8,0.359,50.946
25,NaCl,1,0.5,0.8,0.464,47.018
25,NaCl,1,0.5,0.8,0.599,43.078
25,NaCl,1,0.5,0.8,0.774,38.493
25,NaCl,1,0.5,0.8,1.0,34.068
25,NaCl,1,0.5,0.8,1.29,30.541
25,NaCl,1,0.5,0.8,1.67,27.132
25,NaCl,1,0.5,0.8,2.15,24.376
25,NaCl,1,0.5,0.8,2.78,21.464
25,NaCl,1,0.5,0.8,3.59,18.979
25,NaCl,1,0.5,0.8,4.64,16.793
25,NaCl,1,0.5,0.8,5.99,14.859
25,NaCl,1,0.5,0.8,7.74,13.1
25,NaCl,1,0.5,0.8,10.0,11.597
25,NaCl,1,0.5,0.8,12.9,10.273
25,NaCl,1,0.5,0.8,16.7,9.0955
25,NaCl,1,0.5,0.8,21.5,8.0505
25,NaCl,1,0.5,0.8,27.8,7.1801
25,NaCl,1,0.5,0.8,35.9,6.3865
25,NaCl,1,0.5,0.8,46.4,5.7011
25,NaCl,1,0.5,0.8,59.9,5.1344
25,NaCl,1,0.5,0.8,77.4,4.6256
25,NaCl,1,0.5,0.8,100.0,4.2458
25,NaCl,1,0.5,4.0,0.001,2174.9
25,NaCl,1,0.5,4.0,0.00129,2877.3
25,NaCl,1,0.5,4.0,0.00167,3206.9
25,NaCl,1,0.5,4.0,0.00215,3396.0
25,NaCl,1,0.5,4.0,0.00278,3522.1
25,NaCl,1,0.5,4.0,0.00359,3599.1
25,NaCl,1,0.5,4.0,0.00464,3597.6
25,NaCl,1,0.5,4.0,0.006,3529.4
25,NaCl,1,0.5,4.0,0.00774,3450.7
25,NaCl,1,0.5,4.0,0.01,3311.1
25,NaCl,1,0.5,4.0,0.0129,3153.5
25,NaCl,1,0.5,4.0,0.0167,2942.1
25,NaCl,1,0.5,4.0,0.0215,2723.7
25,NaCl,1,0.5,4.0,0.0278,2482.3
25,NaCl,1,0.5,4.0,0.0359,2234.2
25,NaCl,1,0.5,4.0,0.0464,1985.1
25,NaCl,1,0.5,4.0,0.0599,1746.1
25,NaCl,1,0.5,4.0,0.0774,1525.1
25,NaCl,1,0.5,4.0,0.1,1322.2
25,NaCl,1,0.5,4.0,0.129,1140.5
25,NaCl,1,0.5,4.0,0.167,974.56
25,NaCl,1,0.5,4.0,0.215,830.54
25,NaCl,1,0.5,4.0,0.278,703.94
25,NaCl,1,0.5,4.0,0.359,594.0
25,NaCl,1,0.5,4.0,0.464,499.48
25,NaCl,1,0.5,4.0,0.599,418.78
25,NaCl,1,0.5,4.0,0.774,349.67
25,NaCl,1,0.5,4.0,1.0,292.93
25,NaCl,1,0.5,4.0,1.29,244.53
25,NaCl,1,0.5,4.0,1.67,203.64
25,NaCl,1,0.5,4.0,2.15,169.68
25,NaCl,1,0.5,4.0,2.78,141.57
25,NaCl,1,0.5,4.0,3.59,118.03
25,NaCl,1,0.5,4.0,4.64,98.567
25,NaCl,1,0.5,4.0,5.99,82.549
25,NaCl,1,0.5,4.0,7.74,69.249
25,NaCl,1,0.5,4.0,10.0,58.231
25,NaCl,1,0.5,4.0,12.9,49.166
25,NaCl,1,0.5,4.0,16.7,41.664
25,NaCl,1,0.5,4.0,21.5,35.43
25,NaCl,1,0.5,4.0,27.8,30.241
25,NaCl,1,0.5,4.0,35.9,25.94
25,NaCl,1,0.5,4.0,46.4,22.377
25,NaCl,1,0.5,4.0,59.9,19.39
25,NaCl,1,0.5,4.0,77.4,16.909
25,NaCl,1,0.5,4.0,100.0,14.855
25,NaCl,1,0.5,4.0,129.0,13.116
25,NaCl,1,0.5,4.0,167.0,11.459
25,NaCl,1,0.5,4.0,215.0,10.171
25,NaCl,1,0.5,4.0,278.0,9.0412
25,NaCl,1,0.5,4.0,359.0,7.6814
25,NaCl,1,0.5,4.0,464.0,6.8257
25,NaCl,1,0.5,4.0,599.0,8.026
25,NaCl,1,0.5,4.0,774.0,8.6107
25,NaCl,1,0.5,4.0,1000.0,9.0732
25,NaCl,1,0.5,3.0,0.001,1631.0
25,NaCl,1,0.5,3.0,0.00129,1794.7
25,NaCl,1,0.5,3.0,0.00167,1869.0
25,NaCl,1,0.5,3.0,0.00215,1891.9
25,NaCl,1,0.5,3.0,0.00278,1868.1
25,NaCl,1,0.5,3.0,0.00359,1848.8
25,NaCl,1,0.5,3.0,0.00464,1834.9
25,NaCl,1,0.5,3.0,0.00599,1790.8
25,NaCl,1,0.5,3.0,0.00774,1741.0
25,NaCl,1,0.5,3.0,0.01,1669.4
25,NaCl,1,0.5,3.0,0.0129,1600.2
25,NaCl,1,0.5,3.0,0.0167,1507.6
25,NaCl,1,0.5,3.0,0.0215,1408.7
25,NaCl,1,0.5,3.0,0.0278,1298.6
25,NaCl,1,0.5,3.0,0.0359,1180.5
25,NaCl,1,0.5,3.0,0.0464,1063.2
25,NaCl,1,0.5,3.0,0.0599,951.05
25,NaCl,1,0.5,3.0,0.0774,842.12
25,NaCl,1,0.5,3.0,0.1,738.04
25,NaCl,1,0.5,3.0,0.129,644.88
25,NaCl,1,0.5,3.0,0.167,560.48
25,NaCl,1,0.5,3.0,0.215,484.7
25,NaCl,1,0.5,3.0,0.278,417.77
25,NaCl,1,0.5,3.0,0.359,357.43
25,NaCl,1,0.5,3.0,0.464,304.46
25,NaCl,1,0.5,3.0,0.599,258.27
25,NaCl,1,0.5,3.0,0.774,218.43
25,NaCl,1,0.5,3.0,1.0,183.91
25,NaCl,1,0.5,3.0,1.29,155.66
25,NaCl,1,0.5,3.0,1.67,131.19
25,NaCl,1,0.5,3.0,2.15,110.14
25,NaCl,1,0.5,3.0,2.78,92.987
25,NaCl,1,0.5,3.0,3.59,78.1
25,NaCl,1,0.5,3.0,4.64,66.009
25,NaCl,1,0.5,3.0,5.99,55.742
25,NaCl,1,0.5,3.0,7.74,47.161
25,NaCl,1,0.5,3.0,10.0,40.01
25,NaCl,1,0.5,3.0,12.9,34.036
25,NaCl,1,0.5,3.0,16.7,29.072
25,NaCl,1,0.5,3.0,21.5,24.923
25,NaCl,1,0.5,3.0,27.8,21.477
25,NaCl,1,0.5,3.0,35.9,18.609
25,NaCl,1,0.5,3.0,46.4,16.221
25,NaCl,1,0.5,3.0,59.9,14.24
25,NaCl,1,0.5,3.0,77.4,12.544
25,NaCl,1,0.5,3.0,100.0,11.155
25,NaCl,1,0.5,3.0,129.0,9.9395
25,NaCl,1,0.5,3.0,167.0,8.7203
25,NaCl,1,0.5,3.0,215.0,7.8779
25,NaCl,1,0.5,3.0,278.0,6.7446
25,NaCl,1,0.5,3.0,359.0,5.861
25,NaCl,1,0.5,3.0,464.0,6.6856
25,NaCl,1,0.5,3.0,599.0,7.4226
25,NaCl,1,0.5,3.0,774.0,7.8897
25,NaCl,1,0.5,3.0,1000.0,8.3282
25,NaCl,1,0.5,0.3,0.1,6.7674
25,NaCl,1,0.5,0.3,0.141,9.9068
25,NaCl,1,0.5,0.3,0.198,9.6362
25,NaCl,1,0.5,0.3,0.278,8.8232
25,NaCl,1,0.5,0.3,0.391,7.8938
25,NaCl,1,0.5,0.3,0.55,6.8549
25,NaCl,1,0.5,0.3,0.774,6.0698
25,NaCl,1,0.5,0.3,1.09,6.3807
25,NaCl,1,0.5,0.3,1.53,5.6479
25,NaCl,1,0.5,0.3,2.15,5.3196
25,NaCl,1,0.5,0.3,3.03,4.6521
25,NaCl,1,0.5,0.3,4.26,4.3235
25,NaCl,1,0.5,0.3,5.99,3.9351
25,NaCl,1,0.5,0.3,8.43,3.5876
25,NaCl,1,0.5,0.3,11.9,3.2682
25,NaCl,1,0.5,0.3,16.7,2.9787
25,NaCl,1,0.5,0.3,23.5,2.7194
25,NaCl,1,0.5,0.3,33.0,2.5149
25,NaCl,1,0.5,0.3,46.4,2.33
25,NaCl,1,0.5,0.3,65.3,2.1853
25,NaCl,1,0.5,0.3,91.8,2.0641
25,NaCl,1,0.5,0.3,129.0,2.0173
25,NaCl,1,0.5,0.3,182.0,2.4673
25,NaCl,1,0.5,0.3,256.0,2.8704
25,NaCl,1,0.5,0.3,359.0,3.3254
25,NaCl,1,0.5,0.3,505.0,3.8035
25,NaCl,1,0.5,0.3,711.0,4.3123
25,NaCl,1,0.5,0.3,1000.0,4.6625
25,NaCl,1,0.5,0.2,0.1,5.5737
25,NaCl,1,0.5,0.2,0.141,6.4497
25,NaCl,1,0.5,0.2,0.198,5.3465
25,NaCl,1,0.5,0.2,0.278,4.7967
25,NaCl,1,0.5,0.2,0.391,4.0345
25,NaCl,1,0.5,0.2,0.55,3.6816
25,NaCl,1,0.5,0.2,0.774,3.6078
25,NaCl,1,0.5,0.2,1.09,3.8153
25,NaCl,1,0.5,0.2,1.53,3.3686
25,NaCl,1,0.5,0.2,2.15,3.4427
25,NaCl,1,0.5,0.2,3.03,3.0237
25,NaCl,1,0.5,0.2,4.26,2.8829
25,NaCl,1,0.5,0.2,5.99,2.7042
25,NaCl,1,0.5,0.2,8.43,2.5484
25,NaCl,1,0.5,0.2,11.9,2.385
25,NaCl,1,0.5,0.2,16.7,2.2273
25,NaCl,1,0.5,0.2,23.5,2.0794
25,NaCl,1,0.5,0.2,33.0,1.9657
25,NaCl,1,0.5,0.2,46.4,1.8656
25,NaCl,1,0.5,0.2,65.3,1.7976
25,NaCl,1,0.5,0.2,91.8,1.7416
25,NaCl,1,0.5,0.2,129.0,1.7266
25,NaCl,1,0.5,0.2,182.0,2.0481
25,NaCl,1,0.5,0.2,256.0,2.6263
25,NaCl,1,0.5,0.2,359.0,3.1765
25,NaCl,1,0.5,0.2,505.0,3.7098
25,NaCl,1,0.5,0.2,711.0,3.6536
25,NaCl,1,0.5,0.2,1000.0,3.3413
25,NaCl,1,0.5,0.03,1.0,0.85602
25,NaCl,1,0.5,0.03,1.29,1.0965
25,NaCl,1,0.5,0.03,1.67,1.2704
25,NaCl,1,0.5,0.03,2.15,1.1676
25,NaCl,1,0.5,0.03,2.78,1.1278
25,NaCl,1,0.5,0.03,3.59,1.0644
25,NaCl,1,0.5,0.03,4.64,1.1219
25,NaCl,1,0.5,0.03,5.99,1.0442
25,NaCl,1,0.5,0.03,7.74,1.09
25,NaCl,1,0.5,0.03,10.0,1.0784
25,NaCl,1,0.5,0.03,12.9,1.0769
25,NaCl,1,0.5,0.03,16.7,1.0875
25,NaCl,1,0.5,0.03,21.5,1.0707
25,NaCl,1,0.5,0.03,27.8,1.0903
25,NaCl,1,0.5,0.03,35.9,1.0897
25,NaCl,1,0.5,0.03,46.4,1.1134
25,NaCl,1,0.5,0.03,59.9,1.1095
25,NaCl,1,0.5,0.03,77.4,1.1353
25,NaCl,1,0.5,0.03,100.0,1.1587
25,NaCl,1,0.5,0.02,1.0,1375.0867
25,NaCl,1,0.5,0.02,1.29,1120.16155
25,NaCl,1,0.5,0.02,1.67,912.57682
25,NaCl,1,0.5,0.02,2.15,743.5690999999999
25,NaCl,1,0.5,0.02,2.78,605.04765
25,NaCl,1,0.5,0.02,3.59,491.67945000000003
25,NaCl,1,0.5,0.02,4.64,398.74535000000003
25,NaCl,1,0.5,0.02,5.99,322.96715
25,NaCl,1,0.5,0.02,7.74,261.55705
25,NaCl,1,0.5,0.02,10.0,211.85125
25,NaCl,1,0.5,0.02,12.9,171.4987
25,NaCl,1,0.5,0.02,16.7,138.91750000000002
25,NaCl,1,0.5,0.02,21.5,112.8627
25,NaCl,1,0.5,0.02,27.8,92.1382
25,NaCl,1,0.5,0.02,35.9,75.6323
25,NaCl,1,0.5,0.02,46.4,62.4049
25,NaCl,1,0.5,0.02,59.9,51.76855
25,NaCl,1,0.5,0.02,77.4,43.07725
25,NaCl,1,0.5,0.02,100.0,35.85065
25,NaCl,1,0.5,0.02,0.000999,56041.0
25,NaCl,1,0.5,0.02,0.00129,69271.0
25,NaCl,1,0.5,0.02,0.00167,73363.0
25,NaCl,1,0.5,0.02,0.00215,74099.0
25,NaCl,1,0.5,0.02,0.00278,73074.0
25,NaCl,1,0.5,0.02,0.00359,70829.0
25,NaCl,1,0.5,0.02,0.00464,67738.0
25,NaCl,1,0.5,0.02,0.00599,64026.0
25,NaCl,1,0.5,0.02,0.00774,59948.0
25,NaCl,1,0.5,0.02,0.01,55553.0
25,NaCl,1,0.5,0.02,0.0129,50951.0
25,NaCl,1,0.5,0.02,0.0167,46288.0
25,NaCl,1,0.5,0.02,0.0215,41526.0
25,NaCl,1,0.5,0.02,0.0278,36826.0
25,NaCl,1,0.5,0.02,0.0359,32226.0
25,NaCl,1,0.5,0.02,0.0464,27828.0
25,NaCl,1,0.5,0.02,0.0599,23691.0
25,NaCl,1,0.5,0.02,0.0774,19930.0
25,NaCl,1,0.5,0.02,0.1,16607.0
25,NaCl,1,0.5,0.02,0.129,13748.0
25,NaCl,1,0.5,0.02,0.167,11349.0
25,NaCl,1,0.5,0.02,0.215,9313.7
25,NaCl,1,0.5,0.02,0.278,7635.0
25,NaCl,1,0.5,0.02,0.359,6233.9
25,NaCl,1,0.5,0.02,0.464,5090.1
25,NaCl,1,0.5,0.02,0.599,4148.4
25,NaCl,1,0.5,0.02,0.774,3377.8
25,NaCl,1,0.5,0.02,129.0,58.428
25,NaCl,1,0.5,0.02,167.0,48.843
25,NaCl,1,0.5,0.02,215.0,40.785
25,NaCl,1,0.5,0.02,278.0,34.456
25,NaCl,1,0.5,0.02,359.0,30.191
25,NaCl,1,0.5,0.02,464.0,25.776
25,NaCl,1,0.5,0.02,599.0,22.388
25,NaCl,1,0.5,0.02,774.0,19.632
25,NaCl,1,0.5,0.02,1000.0,17.352
25,NaCl,1,0.5,0.005,0.01,36.259
25,NaCl,1,0.5,0.005,0.0119,32.874
25,NaCl,1,0.5,0.005,0.0141,25.114
25,NaCl,1,0.5,0.005,0.0167,26.89
25,NaCl,1,0.5,0.005,0.0198,13.287
25,NaCl,1,0.5,0.005,0.0235,8.1553
25,NaCl,1,0.5,0.005,0.0278,9.3289
25,NaCl,1,0.5,0.005,0.033,10.171
25,NaCl,1,0.5,0.005,0.0391,7.5899
25,NaCl,1,0.5,0.005,0.0464,4.2277
25,NaCl,1,0.5,0.005,0.055,2.0211
25,NaCl,1,0.5,0.005,0.0774,0.61604
25,NaCl,1,0.5,0.005,0.182,0.73417
25,NaCl,1,0.5,0.005,0.215,0.99118
25,NaCl,1,0.5,0.005,0.256,1.1613
25,NaCl,1,0.5,0.005,0.303,1.1643
25,NaCl,1,0.5,0.005,0.359,1.8131
25,NaCl,1,0.5,0.005,0.426,1.4251
25,NaCl,1,0.5,0.005,0.505,0.73197
25,NaCl,1,0.5,0.005,0.599,0.57546
25,NaCl,1,0.5,0.005,0.711,0.97816
25,NaCl,1,0.5,0.005,0.843,0.96558
25,NaCl,1,0.5,0.005,1.0,1.1627
25,NaCl,1,0.5,0.005,1.19,0.85285
25,NaCl,1,0.5,0.005,1.41,0.79958
25,NaCl,1,0.5,0.005,1.67,0.96246
25,NaCl,1,0.5,0.005,1.98,0.98609
25,NaCl,1,0.5,0.005,2.35,0.86872
25,NaCl,1,0.5,0.005,2.78,1.0122
25,NaCl,1,0.5,0.005,3.3,0.84546
25,NaCl,1,0.5,0.005,3.91,0.98196
25,NaCl,1,0.5,0.005,4.64,0.87994
25,NaCl,1,0.5,0.005,5.5,0.95412
25,NaCl,1,0.5,0.005,6.53,0.95768
25,NaCl,1,0.5,0.005,7.74,0.91912
25,NaCl,1,0.5,0.005,9.18,0.91042
25,NaCl,1,0.5,0.005,10.9,0.92365
25,NaCl,1,0.5,0.005,12.9,0.93371
25,NaCl,1,0.5,0.005,15.3,0.95437
25,NaCl,1,0.5,0.005,18.2,0.97146
25,NaCl,1,0.5,0.005,21.5,0.95308
25,NaCl,1,0.5,0.005,25.6,0.97035
25,NaCl,1,0.5,0.005,30.3,0.98522
25,NaCl,1,0.5,0.005,35.9,0.98717
25,NaCl,1,0.5,0.005,42.6,1.0018
25,NaCl,1,0.5,0.005,50.5,1.0155
25,NaCl,1,0.5,0.005,59.9,1.0502
25,NaCl,1,0.5,0.005,71.1,1.0696
25,NaCl,1,0.5,0.005,84.3,1.0375
25,NaCl,1,0.5,0.005,100.0,1.0828
25,NaCl,1,0.5,0.01,0.0464,5.6821
25,NaCl,1,0.5,0.01,0.055,7.4675
25,NaCl,1,0.5,0.01,0.0653,5.4186
25,NaCl,1,0.5,0.01,0.0774,0.93827
25,NaCl,1,0.5,0.01,0.0918,2.5813
25,NaCl,1,0.5,0.01,0.109,1.7675
25,NaCl,1,0.5,0.01,0.129,1.7021
25,NaCl,1,0.5,0.01,0.153,3.5201
25,NaCl,1,0.5,0.01,0.182,2.6163
25,NaCl,1,0.5,0.01,0.215,2.1932
25,NaCl,1,0.5,0.01,0.256,1.0633
25,NaCl,1,0.5,0.01,0.505,1.0415
25,NaCl,1,0.5,0.01,0.599,1.0879
25,NaCl,1,0.5,0.01,0.711,1.3461
25,NaCl,1,0.5,0.01,0.843,0.89241
25,NaCl,1,0.5,0.01,1.0,0.64928
25,NaCl,1,0.5,0.01,1.19,0.96657
25,NaCl,1,0.5,0.01,1.41,1.1676
25,NaCl,1,0.5,0.01,1.67,0.89195
25,NaCl,1,0.5,0.01,1.98,0.87293
25,NaCl,1,0.5,0.01,2.35,1.0602
25,NaCl,1,0.5,0.01,2.78,0.83781
25,NaCl,1,0.5,0.01,3.3,0.98012
25,NaCl,1,0.5,0.01,3.91,0.87082
25,NaCl,1,0.5,0.01,4.64,0.99931
25,NaCl,1,0.5,0.01,5.5,0.8966
25,NaCl,1,0.5,0.01,6.53,0.92545
25,NaCl,1,0.5,0.01,7.74,0.97478
25,NaCl,1,0.5,0.01,9.18,0.97068
25,NaCl,1,0.5,0.01,10.9,0.97579
25,NaCl,1,0.5,0.01,12.9,0.97966
25,NaCl,1,0.5,0.01,15.3,0.9652
25,NaCl,1,0.5,0.01,18.2,0.94529
25,NaCl,1,0.5,0.01,21.5,0.98743
25,NaCl,1,0.5,0.01,25.6,0.9701
25,NaCl,1,0.5,0.01,30.3,0.98009
25,NaCl,1,0.5,0.01,35.9,0.99917
25,NaCl,1,0.5,0.01,42.6,1.0084
25,NaCl,1,0.5,0.01,50.5,1.0088
25,NaCl,1,0.5,0.01,59.9,1.0075
25,NaCl,1,0.5,0.01,71.1,1.0179
25,NaCl,1,0.5,0.01,84.3,1.0805
25,NaCl,1,0.5,0.01,100.0,1.0861
25,NaCl,1,0.5,0.05,0.00129,31.973
25,NaCl,1,0.5,0.05,0.278,1.8745
25,NaCl,1,0.5,0.05,0.359,1.963
25,NaCl,1,0.5,0.05,0.464,1.8016
25,NaCl,1,0.5,0.05,0.599,1.7961
25,NaCl,1,0.5,0.05,0.774,1.0442
25,NaCl,1,0.5,0.05,1.0,0.66208
25,NaCl,1,0.5,0.05,1.29,1.2452
25,NaCl,1,0.5,0.05,1.67,1.3288
25,NaCl,1,0.5,0.05,2.15,0.92783
25,NaCl,1,0.5,0.05,2.78,1.2375
25,NaCl,1,0.5,0.05,3.59,1.0078
25,NaCl,1,0.5,0.05,4.64,1.1661
25,NaCl,1,0.5,0.05,5.99,1.1741
25,NaCl,1,0.5,0.05,7.74,1.1535
25,NaCl,1,0.5,0.05,10.0,1.1254
25,NaCl,1,0.5,0.05,12.9,1.0898
25,NaCl,1,0.5,0.05,16.7,1.1118
25,NaCl,1,0.5,0.05,21.5,1.1215
25,NaCl,1,0.5,0.05,27.8,1.1048
25,NaCl,1,0.5,0.05,35.9,1.1205
25,NaCl,1,0.5,0.05,46.4,1.1345
25,NaCl,1,0.5,0.05,59.9,1.1333
25,NaCl,1,0.5,0.05,77.4,1.1707
25,NaCl,1,0.5,0.05,100.0,1.2021
25,NaCl,1,0.5,0.05,129.0,1.302
25,NaCl,1,0.5,0.05,167.0,1.6847
25,NaCl,1,0.5,0.05,215.0,1.893
25,NaCl,1,0.5,0.05,278.0,2.1962
25,NaCl,1,0.5,0.05,359.0,2.5127
25,NaCl,1,0.5,0.05,464.0,2.8176
25,NaCl,1,0.5,0.05,599.0,3.1418
25,NaCl,1,0.5,0.05,774.0,3.4687
25,NaCl,1,0.5,0.05,1000.0,3.7639
25,NaCl,1,0.5,0.1,0.001,314.59
25,NaCl,1,0.5,0.1,0.00129,296.96
25,NaCl,1,0.5,0.1,0.00167,238.33
25,NaCl,1,0.5,0.1,0.00215,186.13
25,NaCl,1,0.5,0.1,0.00278,140.97
25,NaCl,1,0.5,0.1,0.00359,121.28
25,NaCl,1,0.5,0.1,0.00464,94.043
25,NaCl,1,0.5,0.1,0.00599,56.46
25,NaCl,1,0.5,0.1,0.00774,51.904
25,NaCl,1,0.5,0.1,0.01,52.251
25,NaCl,1,0.5,0.1,0.0129,26.674
25,NaCl,1,0.5,0.1,0.0167,20.217
25,NaCl,1,0.5,0.1,0.0215,13.349
25,NaCl,1,0.5,0.1,0.0278,10.58
25,NaCl,1,0.5,0.1,0.0359,9.2782
25,NaCl,1,0.5,0.1,0.0464,9.7868
25,NaCl,1,0.5,0.1,0.06,5.7803
25,NaCl,1,0.5,0.1,0.0774,3.5215
25,NaCl,1,0.5,0.1,0.1,1.7913
25,NaCl,1,0.5,0.1,0.129,1.3322
25,NaCl,1,0.5,0.1,0.167,0.62526
25,NaCl,1,0.5,0.1,0.278,0.68624
25,NaCl,1,0.5,0.1,0.359,0.61052
25,NaCl,1,0.5,0.1,0.464,1.7406
25,NaCl,1,0.5,0.1,0.599,1.9054
25,NaCl,1,0.5,0.1,0.774,2.1677
25,NaCl,1,0.5,0.1,1.0,1.7259
25,NaCl,1,0.5,0.1,1.29,1.3838
25,NaCl,1,0.5,0.1,1.67,1.6972
25,NaCl,1,0.5,0.1,2.15,1.6811
25,NaCl,1,0.5,0.1,2.78,1.5405
25,NaCl,1,0.5,0.1,3.59,1.6039
25,NaCl,1,0.5,0.1,4.64,1.5826
25,NaCl,1,0.5,0.1,5.99,1.505
25,NaCl,1,0.5,0.1,7.74,1.4777
25,NaCl,1,0.5,0.1,10.0,1.4816
25,NaCl,1,0.5,0.1,12.9,1.4292
25,NaCl,1,0.5,0.1,16.7,1.4177
25,NaCl,1,0.5,0.1,21.5,1.3983
25,NaCl,1,0.5,0.1,27.8,1.3729
25,NaCl,1,0.5,0.1,35.9,1.3539
25,NaCl,1,0.5,0.1,46.4,1.3576
25,NaCl,1,0.5,0.1,59.9,1.3499
25,NaCl,1,0.5,0.1,77.4,1.3493
25,NaCl,1,0.5,0.1,100.0,1.3729
25,NaCl,1,0.5,0.1,129.0,1.3542
25,NaCl,1,0.5,0.1,167.0,1.7711
25,NaCl,1,0.5,0.1,215.0,2.1595
25,NaCl,1,0.5,0.1,278.0,2.4244
25,NaCl,1,0.5,0.1,359.0,2.6477
25,NaCl,1,0.5,0.1,464.0,2.7878
25,NaCl,1,0.5,0.1,599.0,3.039
25,NaCl,1,0.5,0.1,774.0,3.309
25,NaCl,1,0.5,0.1,1000.0,3.3972
25,NaCl,1,0.5,0.5,0.001,390.68
25,NaCl,1,0.5,0.5,0.00129,264.25
25,NaCl,1,0.5,0.5,0.00167,196.5
25,NaCl,1,0.5,0.5,0.00215,166.0
25,NaCl,1,0.5,0.5,0.00278,132.83
25,NaCl,1,0.5,0.5,0.00359,115.18
25,NaCl,1,0.5,0.5,0.00464,78.364
25,NaCl,1,0.5,0.5,0.006,72.326
25,NaCl,1,0.5,0.5,0.00774,52.303
25,NaCl,1,0.5,0.5,0.01,47.101
25,NaCl,1,0.5,0.5,0.0129,33.399
25,NaCl,1,0.5,0.5,0.0167,34.769
25,NaCl,1,0.5,0.5,0.0215,25.96
25,NaCl,1,0.5,0.5,0.0278,25.896
25,NaCl,1,0.5,0.5,0.0359,23.476
25,NaCl,1,0.5,0.5,0.0464,19.02
25,NaCl,1,0.5,0.5,0.06,23.429
25,NaCl,1,0.5,0.5,0.0774,21.309
25,NaCl,1,0.5,0.5,0.1,19.921
25,NaCl,1,0.5,0.5,0.129,16.137
25,NaCl,1,0.5,0.5,0.167,16.021
25,NaCl,1,0.5,0.5,0.215,13.728
25,NaCl,1,0.5,0.5,0.278,12.629
